geo,legal_system_trust,political_system_trust,police_trust,,,,,,,,
AUT,6,4.4,7.2,,,,,,,,
BEL,5,4.6,6.1,,,,,,,,
BUL,3,2.6,3.6,,,,,,,,
CHE,7,6.6,7.4,,,,,,,,
CYP,3.6,2.6,4.7,,,,,,,,
CZE,3.8,3.7,4.9,,,,,,,,
DEU,5.3,4.9,6.4,,,,,,,,
DEN,7.5,5.9,7.9,,,,,,,,
EST,5.2,4.4,6,,,,,,,,
GRC,4.1,2,5,,,,,,,,
ESP,3.1,1.9,5.4,,,,,,,,
FIN,7.2,6,8.2,,,,,,,,
FRA,4.5,3,5.6,,,,,,,,
CRO,3.3,2.8,,,,,,,,,
HUN,5.1,4.5,5.7,,,,,,,,
IRL,5.1,3.2,6.9,,,,,,,,
ISL,5.7,3.7,7.7,,,,,,,,
ITA,3.6,2.1,5.8,,,,,,,,
LTU,4.9,4.5,6,,,,,,,,
LUX,5.3,5,6.1,,,,,,,,
LTV,4.5,3.6,5.4,,,,,,,,
MNE,4.8,4.6,5.2,,,,,,,,
MKD,4.4,4.4,5.1,,,,,,,,
MLT,4.9,5.7,6.3,,,,,,,,
NED,6.2,5.5,6.6,,,,,,,,
NOR,7.2,5.9,7.5,,,,,,,,
POL,4.2,3.5,5.2,,,,,,,,
POR,2.9,1.7,5.4,,,,,,,,
ROU,5.8,4.8,6.4,,,,,,,,
SRB,3.4,3.2,4.3,,,,,,,,
SWE,6.7,5.5,7.1,,,,,,,,
SLV,2.7,1.8,5.5,,,,,,,,
SVK,3.6,3.5,4.4,,,,,,,,
TUR,5.4,4.9,6.5,,,,,,,,
UK,5.5,3.8,6.4,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,e
