"country_code","year","country","category","indicator","value_per_100000","gender_inequality_index","legal_system_trust","political_system_trust","police_trust"
"AUT",2017,"Austria","Trade or possession of protected or prohibited species of faune and flora","Acts against the environment",0,0.072,6,4.4,7.2
"AUT",2017,"Austria","Fraud","Offences",210.245756524532,0.072,6,4.4,7.2
"AUT",2011,"Austria","Kidnapping","Violent offences",0.0300068356656609,0.103,6,4.4,7.2
"AUT",2017,"Austria","Relationship to perpetrator is not known","Victims of sexual violence",0.206167175925811,0.072,6,4.4,7.2
"AUT",2017,"Austria","Kidnapping","Violent offences",0.0179953571895866,0.072,6,4.4,7.2
"AUT",2011,"Austria","Sexual violence: Sexual assault","Violent offences",16.7678197694398,0.103,6,4.4,7.2
"AUT",2017,"Austria","Smuggling of migrants","Offences",8.87171109553972,0.072,6,4.4,7.2
"AUT",2014,"Austria","Serious assault","Violent offences",19.3801621678481,0.083,6,4.4,7.2
"AUT",2016,"Austria","Sexual violence: Other acts of sexual violence","Violent offences",2.03366456096454,0.082,6,4.4,7.2
"AUT",2016,"Austria","Unlawful interference with a computer system or computer data","Offences",5.6450688845338,0.082,6,4.4,7.2
"AUT",2016,"Austria","Acts intended to induce fear or emotional distress","Violent offences",14.1396677586607,0.082,6,4.4,7.2
"AUT",2012,"Austria","Theft: of a motorized vehicle","Offences",22.8336718556995,0.098,6,4.4,7.2
"AUT",2011,"Austria","Robbery","Violent offences",24.4015587625183,0.103,6,4.4,7.2
"AUT",2016,"Austria","Fraud","Offences",195.225798841897,0.082,6,4.4,7.2
"AUT",2016,"Austria","Kidnapping","Violent offences",0.0119980210061909,0.082,6,4.4,7.2
"AUT",2017,"Austria","Child pornography","Offences of sexual nature",4.438854773979,0.072,6,4.4,7.2
"AUT",2017,"Austria","Theft: of a motorized vehicle","Offences",30.070241867518,0.072,6,4.4,7.2
"AUT",2017,"Austria","Sexual violence: Other acts of sexual violence","Violent offences",2.06346762466294,0.072,6,4.4,7.2
"AUT",2014,"Austria","Sexual violence: Rape","Violent offences",6.9840584406911,0.083,6,4.4,7.2
"AUT",2016,"Austria","Intimate partner or family member","Victims of sexual violence",1.84068818210186,0.082,6,4.4,7.2
"AUT",2014,"Austria","Intimate partner or family member","Victims of serious assault",0.998254819545478,0.083,6,4.4,7.2
