Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2005,Counts,2986,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2005,Counts,708,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2005,Counts,199,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2006,Counts,2919,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2006,Counts,531,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2006,Counts,164,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2007,Counts,2980,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2007,Counts,437,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2007,Counts,123,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2008,Counts,3198,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2008,Counts,398,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2008,Counts,144,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2009,Counts,3073,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2009,Counts,504,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2009,Counts,169,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2010,Counts,3978,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2010,Counts,627,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2010,Counts,231,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2011,Counts,4621,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2011,Counts,611,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2011,Counts,265,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2012,Counts,5344,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2012,Counts,677,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2012,Counts,322,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2013,Counts,5255,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2013,Counts,572,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2013,Counts,365,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2014,Counts,7961,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2014,Counts,401,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2014,Counts,295,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2015,Counts,277,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2015,Counts,231,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2015,Counts,1035,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2015,Counts,214,CTS
